 set Ebeam beam_P Target_P x y z pT2 phih phis k0 born            amm                    nrad_ir                rad_f                   rad_f_err              nrad                   nrad_err               rad                    rad_err                nrad_rad               nrad_rad_err
0 11.000000 U U 0.125000 0.484450 0.350000 0.100000 -2.984513 1.000000 0.010000 1.3312197285806130e-04 -2.4015400011617958e-13 9.4243119364732547e-05 5.6491540253969329e-08 7.2353645335227457e-12 9.4299610904986523e-05 7.2353645335227457e-12 4.2646626254223289e-05 6.5501931794965833e-08 1.3694623715920982e-04 6.5509167159499353e-08
0 11.000000 U U 0.125000 0.484450 0.350000 0.100000 -2.670354 1.000000 0.010000 1.3312197285806130e-04 -2.4015400011617958e-13 9.4173018182715161e-05 5.0778525957351357e-08 6.4325169603728655e-12 9.4223796708672514e-05 6.4325169603728655e-12 4.2132317712615686e-05 6.4871595447003149e-08 1.3635611442128819e-04 6.4878027963963515e-08
0 11.000000 U U 0.125000 0.484450 0.350000 0.100000 -2.356194 1.000000 0.010000 1.3312197285806130e-04 -2.4015400011617958e-13 9.4041259653371520e-05 4.0172707524805733e-08 5.6190351654040824e-12 9.4081432360896322e-05 5.6190351654040824e-12 4.1220803735669750e-05 5.8591659831387924e-08 1.3530223609656608e-04 5.8597278866553326e-08
0 11.000000 U U 0.125000 0.484450 0.350000 0.100000 -2.042035 1.000000 0.010000 1.3312197285806130e-04 -2.4015400011617958e-13 9.3863196749056560e-05 2.6108566236123109e-08 3.6045140152167223e-12 9.3889305315292683e-05 3.6045140152167223e-12 4.0077235269651582e-05 5.3403793589087463e-08 1.3396654058494428e-04 5.3407398103102681e-08
0 11.000000 U U 0.125000 0.484450 0.350000 0.100000 -1.727876 1.000000 0.010000 1.3312197285806130e-04 -2.4015400011617958e-13 9.3658536485517825e-05 1.0315046446752576e-08 2.9315931182581838e-12 9.3668851531964582e-05 2.9315931182581838e-12 3.8873560822613466e-05 4.5096964749391090e-08 1.3254241235457803e-04 4.5099896342509346e-08
0 11.000000 U U 0.125000 0.484450 0.350000 0.100000 -1.413717 1.000000 0.010000 1.3312197285806130e-04 -2.4015400011617958e-13 9.3448521881515356e-05 -5.4902478308739012e-09 3.1752142938924164e-12 9.3443031633684489e-05 3.1752142938924164e-12 3.7752941601102197e-05 3.9814863003136638e-08 1.3119597323478667e-04 3.9818038217430530e-08
0 11.000000 U U 0.125000 0.484450 0.350000 0.100000 -1.099557 1.000000 0.010000 1.3312197285806130e-04 -2.4015400011617958e-13 9.3253469412067562e-05 -1.9816556153438925e-08 3.2558814058598655e-12 9.3233652855914125e-05 3.2558814058598655e-12 3.6801768079899015e-05 3.4799156059564141e-08 1.3003542093581314e-04 3.4802411940969998e-08
0 11.000000 U U 0.125000 0.484450 0.350000 0.100000 -0.785398 1.000000 0.010000 1.3312197285806130e-04 -2.4015400011617958e-13 9.3090979711667226e-05 -3.1498468146862773e-08 2.5815232031359713e-12 9.3059481243520367e-05 2.5815232031359713e-12 3.6048040556168759e-05 4.0020217229126148e-08 1.2910752179968912e-04 4.0022798752329286e-08
0 11.000000 U U 0.125000 0.484450 0.350000 0.100000 -0.471239 1.000000 0.010000 1.3312197285806130e-04 -2.4015400011617958e-13 9.2974827521861983e-05 -3.9711557308586543e-08 2.7747112869000985e-12 9.2935115964553393e-05 2.7747112869000985e-12 3.5548423115183561e-05 3.7597661430454446e-08 1.2848353907973694e-04 3.7600436141741348e-08
0 11.000000 U U 0.125000 0.484450 0.350000 0.100000 -0.157080 1.000000 0.010000 1.3312197285806130e-04 -2.4015400011617958e-13 9.2914387702143812e-05 -4.3940267851965555e-08 3.1504480026184348e-12 9.2870447434291844e-05 3.1504480026184348e-12 3.5329877259979998e-05 3.7115497267848356e-08 1.2820032469427185e-04 3.7118647715850976e-08
