 set Ebeam beam_P Target_P x y z pT2 phih phis k0 born            amm                    nrad_ir                rad_f                   rad_f_err              nrad                   nrad_err               rad                    rad_err                nrad_rad               nrad_rad_err
0 11.000000 U U 0.285000 0.297469 0.350000 0.100000 -2.984513 1.000000 0.010000 8.9630056364041046e-05 -3.6405509987207882e-14 6.1111434295548720e-05 3.2156995052375524e-08 4.8794757834183961e-12 6.1143591290601098e-05 4.8794757834183961e-12 2.5153934167072366e-05 1.7206884185094681e-08 8.6297525457673457e-05 1.7211763660878100e-08
0 11.000000 U U 0.285000 0.297469 0.350000 0.100000 -2.670354 1.000000 0.010000 8.9630056364041046e-05 -3.6405509987207882e-14 6.1010894617700219e-05 2.6269966847033853e-08 3.6479222462630704e-12 6.1037164584547249e-05 3.6479222462630704e-12 2.4887600342209390e-05 1.4779285391490091e-08 8.5924764926756646e-05 1.4782933313736354e-08
0 11.000000 U U 0.285000 0.297469 0.350000 0.100000 -2.356194 1.000000 0.010000 8.9630056364041046e-05 -3.6405509987207882e-14 6.0824065918384730e-05 1.5587770243547082e-08 3.6588395850541347e-12 6.0839653688628277e-05 3.6588395850541347e-12 2.4414956304954686e-05 1.8624272104741751e-08 8.5254609993582956e-05 1.8627930944326805e-08
0 11.000000 U U 0.285000 0.297469 0.350000 0.100000 -2.042035 1.000000 0.010000 8.9630056364041046e-05 -3.6405509987207882e-14 6.0575835997049454e-05 1.8972908404051731e-09 3.9351613931329840e-12 6.0577733287889861e-05 3.9351613931329840e-12 2.3828271211169726e-05 1.3260031279163502e-08 8.4406004499059590e-05 1.3263966440556635e-08
0 11.000000 U U 0.285000 0.297469 0.350000 0.100000 -1.727876 1.000000 0.010000 8.9630056364041046e-05 -3.6405509987207882e-14 6.0296243732020501e-05 -1.2864078879764157e-08 3.7532062992553826e-12 6.0283379653140738e-05 3.7532062992553826e-12 2.3223724584886626e-05 1.2237495671792178e-08 8.3507104238027361e-05 1.2241248878091433e-08
0 11.000000 U U 0.285000 0.297469 0.350000 0.100000 -1.413717 1.000000 0.010000 8.9630056364041046e-05 -3.6405509987207882e-14 6.0015306685879241e-05 -2.7025642228780080e-08 2.9225604443144785e-12 5.9988281043650458e-05 2.9225604443144785e-12 2.2657112472436190e-05 1.5862941070135085e-08 8.2645393516086652e-05 1.5865863630579399e-08
0 11.000000 U U 0.285000 0.297469 0.350000 0.100000 -1.099557 1.000000 0.010000 8.9630056364041046e-05 -3.6405509987207882e-14 5.9759472512375630e-05 -3.9363152773267126e-08 4.9648139845881292e-12 5.9720109359602365e-05 4.9648139845881292e-12 2.2181593443563913e-05 1.2137880912251347e-08 8.1901702803166277e-05 1.2142845726235934e-08
0 11.000000 U U 0.285000 0.297469 0.350000 0.100000 -0.785398 1.000000 0.010000 8.9630056364041046e-05 -3.6405509987207882e-14 5.9549883556862740e-05 -4.9090528793869071e-08 6.2198709825905441e-12 5.9500793028068868e-05 6.2198709825905441e-12 2.1820482633495870e-05 1.0023940701983578e-08 8.1321275661564731e-05 1.0030160572966169e-08
0 11.000000 U U 0.285000 0.297469 0.350000 0.100000 -0.471239 1.000000 0.010000 8.9630056364041046e-05 -3.6405509987207882e-14 5.9401944113188374e-05 -5.5757556645594615e-08 7.0283497816789805e-12 5.9346186556542781e-05 7.0283497816789805e-12 2.1579379307604482e-05 7.3134948303296620e-09 8.0925565864147262e-05 7.3205231801113414e-09
0 11.000000 U U 0.285000 0.297469 0.350000 0.100000 -0.157080 1.000000 0.010000 8.9630056364041046e-05 -3.6405509987207882e-14 5.9325564158751892e-05 -5.9136823631663348e-08 7.4317226128373742e-12 5.9266427335120230e-05 7.4317226128373742e-12 2.1459450637787061e-05 5.9569591566585022e-09 8.0725877972907291e-05 5.9643908792713396e-09
0 11.000000 U U 0.285000 0.297469 0.350000 0.100000 0.157080 1.000000 0.010000 8.9630056364041046e-05 -3.6405509987207882e-14 5.9325564158751892e-05 -5.9136823631663315e-08 7.4317226128375439e-12 5.9266427335120230e-05 7.4317226128375439e-12 2.1459450637787061e-05 5.9569591566581623e-09 8.0725877972907291e-05 5.9643908792709996e-09
0 11.000000 U U 0.285000 0.297469 0.350000 0.100000 0.471239 1.000000 0.010000 8.9630056364041046e-05 -3.6405509987207882e-14 5.9401944113188374e-05 -5.5757556645594589e-08 7.0283497816870197e-12 5.9346186556542781e-05 7.0283497816870197e-12 2.1579379307604488e-05 7.3134948303296066e-09 8.0925565864147262e-05 7.3205231801112934e-09
0 11.000000 U U 0.285000 0.297469 0.350000 0.100000 0.785398 1.000000 0.010000 8.9630056364041046e-05 -3.6405509987207882e-14 5.9549883556862740e-05 -4.9090528793869058e-08 6.2198709825914246e-12 5.9500793028068868e-05 6.2198709825914246e-12 2.1820482633495877e-05 1.0023940701982853e-08 8.1321275661564745e-05 1.0030160572965444e-08
0 11.000000 U U 0.285000 0.297469 0.350000 0.100000 1.099557 1.000000 0.010000 8.9630056364041046e-05 -3.6405509987207882e-14 5.9759472512375630e-05 -3.9363152773267186e-08 4.9648139845887415e-12 5.9720109359602365e-05 4.9648139845887415e-12 2.2181593443563946e-05 1.2137880912251310e-08 8.1901702803166305e-05 1.2142845726235900e-08
0 11.000000 U U 0.285000 0.297469 0.350000 0.100000 1.413717 1.000000 0.010000 8.9630056364041046e-05 -3.6405509987207882e-14 6.0015306685879241e-05 -2.7025642228780090e-08 2.9225604443148344e-12 5.9988281043650458e-05 2.9225604443148344e-12 2.2657112472436167e-05 1.5862941070134850e-08 8.2645393516086625e-05 1.5865863630579164e-08
0 11.000000 U U 0.285000 0.297469 0.350000 0.100000 1.727876 1.000000 0.010000 8.9630056364041046e-05 -3.6405509987207882e-14 6.0296243732020501e-05 -1.2864078879764150e-08 3.7532062992541579e-12 6.0283379653140738e-05 3.7532062992541579e-12 2.3223724584886606e-05 1.2237495671792279e-08 8.3507104238027347e-05 1.2241248878091533e-08
0 11.000000 U U 0.285000 0.297469 0.350000 0.100000 2.042035 1.000000 0.010000 8.9630056364041046e-05 -3.6405509987207882e-14 6.0575835997049454e-05 1.8972908404051669e-09 3.9351613931321181e-12 6.0577733287889861e-05 3.9351613931321181e-12 2.3828271211169743e-05 1.3260031279163804e-08 8.4406004499059604e-05 1.3263966440556936e-08
